author,description,name,state
 长歌欢,介绍:    【女扮男装，一对一，男强女强】她是仙灵界人人敬畏的神级言灵师。说破——万物可破。说死——无人能活。一朝陨落，变成无法修炼的废物。不能修炼又如何，言灵一出，天地可控！当废物一言定生死，狠狠打脸狗眼看人低；当唯一的言灵师势不可挡地崛起，仙灵界和凡人界，又将掀起怎样的腥风血雨！——彼时。她红衣张扬，风流肆意，谈笑间尸横遍,邪妃惑世：逆天言灵师,连载
 姬琳大人,介绍:    她是神御世界唯一的主宰王者！也是世间万物唯一崇拜的神！谁料就算是至尊王者也抵不过小人陷害，下属背叛！临危之际她被迫启用九转玄灵珠穿越异世，却无意夺舍了一个废柴之躯！堂堂神御世界的王者，竟成为一代家族千年难遇的废柴？还要作为联姻的棋子嫁给八十岁老头？操！老娘的命运谁敢主宰!集灵珠、服神丹、御神兽、炼最强玄术！一代废柴,枭皇邪后,连载
 漆起,介绍:    【豪门大小姐vs神兽穷小子】她，手段铁血的财阀继承者，穿越成毁容的废柴，武力不行，智力来凑!神秘空间在手，看她福源广广，寻珍觅宝!升级空间改体质!带着意料之外的崽崽们致富种田养家!搅动风云!不过貌似她身世不简单……却逃不掉某只精明造作的神兽暗搓搓求负责:“救了你的命!花了我的钱!睡了我的身!偷了我的心!生了我的崽!,空间福妻：极品兽夫凶萌崽,连载
 招财猫来宝,介绍:    她是天生的混沌之体，自带一双幽瞳，能看清世间所有的清浊污秽。两次穿越，来到了一个没有轮回，邪灵称霸，亡灵尽出，死灵遍地的世界，同时，也是个强者为尊的世界。傻子？天生废物？没有的事！谁相信谁就倒霉！众人追捧的天灵地宝，逆天宠兽？对不起，在本大小姐这里早已鸡毛不如！绝密功法，终极神器？不好意思，都是抬手就可以送人的货。,邪灵女帝：魔尊宠翻天,连载
 寒子夜,介绍:    她是来自苗族的女子，蛊、毒、医无一不精，除了穷没其他缺点；她是父母早亡的孤女，身无长处，废柴一枚，除了美没其他优点。当苗族姑娘带着一身本事和系统来到异世大陆成为废柴孤女——蛊惑众生，毒可夺人命，医能起死回生，在这异世大陆，谁敢争锋？——◆——◆——今日头条：震惊！我的丈夫他竟然人！格！分！裂！他，温文尔雅、足智,毒医蛊后：鬼王坑妻成瘾,连载
 回首便便,介绍:    雷泽之渊，烛阴魂断，留玄烛悬于永夜，世人皆叹玉盘之美，且不知只为照一人之归家路；钟山崖底，留一孤丘，修万怨之祖红坟，黔首只道墓诔之灾，殊不明乾坤留她独守红尘道。轮回门启，记忆湮灭，她护他百世无恙，他还她情深浓烈。五感与记忆交织成灵识，在人身死后回归初生之时，重新进入轮回门，凡对人世执念深重迟迟不入轮回门，为祸者，怨,诛怨椟,连载
 青青杨柳岸,介绍:    做最随心的牧民，过最田园的生活。做最寂寞的守山人，种最广袤的土地。注：种田，东方玄幻（末法时代），阵法师。挂着玄幻皮的种田文，请大家多担待。女主：我叫姜鹤。我的职业，高大上的叫法是阵法师，通俗叫法是守山人。男主：大家好，我就是个打酱油的。女主：要什么男主啊，女人能了算。,姜小姐的田园日常,连载
 天意留香,介绍:    神武大陆，扬武敬神。一代天骄，武圣重生。太一真水，炼体入道。拳撼天地，脚踏天骄。绝世天帝，万法成空。“敢藐视哥的人，统统拍死！”“敢动哥的女人，都已沉眠！”“哥只是一个神话，没有之一！”,至尊神魔,连载
 大头文,介绍:    男儿有泪不轻弹，只是未到伤心时。郑志重生1998。大头的足球三部曲，【董芳卓】、【武三石】、【郑志】，最后一部队长【郑志】。群号：695460239,我，中国队长,连载
 莫晓苏,介绍:    天地共存，生之根本，武之溯源——武道之集大成时期，天、人、鬼界皆以习武成风，武学百花争鸣门派繁杂，“将武令”由生，统一天下武道之大统。武玄月——根骨惊奇，天生异柄，武学良才，武道正统血统继承人，西疆镇主是她未婚夫，南湘灵族之首是她姨妈。无奈，她只是武家庶出二小姐，一生波折，从小受尽欺辱——虽为小姐身，却是丫鬟命。天,将武生：武家庶女别太毒,连载
 二味盎素,介绍:    她是怪异嚣张的暗黑神医，一手银针一手毒术，治病救人杀人毁灭全在一念之间，却在一次游戏之时落入这暗涛汹涌的九洲大陆。重生为被外戚霸占药阁废物大小姐，爹不知娘不在，青梅竹马未婚夫却是一头披着羊皮的狼，一招得势便要治她于死地。呵……未婚夫要药阁少主位置？一巴掌拍死！真解气！一朝爽快灭渣男，换来药阁被灭，天苍苍野茫茫，顿时,神医邪后太嚣张,连载
 金弥儿,介绍:    一觉起来我变成了我妹妹的模样，遇到了我妹妹喜欢的男人，纯纯的我该怎么办哟？,存心遗爱未来可期,连载
 千途临,介绍:    她出身于中医世家，天赋过人，身家无数，却在人行道被某个马路杀手撞飞穿越到了一个六岁小女孩身上，没爹没妈，爷爷不疼，家族不爱，还天赋被废？好吧，看她如何用她天才的医术恢复她的修炼体打一个漂亮的翻身仗！结果听说她居然是一个自带仙气的小魔女……余嫤祎自以为自己是世界上最爱钱的，直到遇上某条属性高冷时而萌萌哒的比她更爱钱,神医魔女之攻略冷萌龙神,连载
 砚压群芳,介绍:    快穿文，网络小说作家楚雯雯，为了接受主神的惩罚，穿越到自己写的小说世界当中，体验每一个女配的艰难逆袭之路，平定女配的怨气，而那些认为命运不公的女配，也看着她利用自己的智商和努力，碾压女主的剧情，大家才发现，不管是女主还是女配的人生道路，都是可以凭借自己的努力进行更改的。而主神看到了小作家的努力，也提出了可以通过角色,我从角色里面刷颜值,连载
 生撕,介绍:    全能强魂再世为人，过往云烟，我要自由，我要无上！“我不属于任何人，我只属于我自己。”“谁对我好，我就跟谁走。”一个人看烟火很孤独，她孤独不是因为没有人，是来到了这个地方。“兴风作浪、得寸进尺，有时又不积极…”“冷冰冰的像铁一样，像你这种薄情寡性的人就不该存活！”恨意终过…,倾世傲娇：尤容似,连载
 坐望寒山,介绍:    大陆上的人都说，谁签订了铭契，谁便有了与神对话的资格。为了心中的梦想，少男少女们带着各自的执念，签铭契，闯灵境，战八荒！在这一份抵押了整个大陆的黑暗契约中，他们最终能否挣脱命运编织的绳网，站在力量的制高点上，掌转三千铭契，傲视四方？,三千铭契目录,连载
 汉宝,介绍:    他能召唤恶魔，能够看到死亡。,恶魔就在身边,连载
 吉屋,介绍:    一场车祸，让清澈来到新大陆，附身在将军府的废材大小姐身上。在别人眼中的她，空有外貌，没有真才实学。然而她却成为群兽之王。世人欺她，将加倍奉还。经商铺，炼灵力，扬帆起航。看她如何在新大陆走出新光大道？达到顶峰之时，却有极品王爷的阻碍，她笑靥如花走过来，“我们联手？”,逆天皇妃：极品王爷宠上身,连载
 瑞血丰年,介绍:    泰坦，与最古老的神袛一同诞生的近神生物。龙，雄距无数世界食物链顶端的强大掠食者。继承了泰坦与金龙血脉的穆瑞亚，端坐于王座之上。红龙，蓝龙，绿龙……青铜龙，赤铜龙，黄铜龙……紫晶龙，水晶龙，翡翠龙，众多巨龙匍匐在王座之下。云巨人，雾巨人，石巨人，霜巨人……风暴巨人，山岭巨人，潮汐巨人……无数的巨人向王座跪拜。王者的力量，不仅仅是用来杀戮与征服！,泰坦与龙之王,连载
 太子绝尘,介绍:    混沌界即将灭亡，创始元灵选择破而后立，与四大弟子，鸿钧老祖、混鲲祖师、女娲娘娘和陆压道君创立“一个可以召唤混沌界的系统”......,混沌皇帝系统,连载
 双子座游鱼,介绍:    穿越诡异与神秘复苏的玄幻地球世界，意外获得联通诸天世界的迷雾空间。与无尽强者相见面。苏寒看着迷雾空间内，和自己一起开会的众多大佬，陷入了沉思。今天是隐晦一点告诉白胡子，他的儿子未来会干死他。还是和宇智波斑说……黑绝会在计划完成之时暗杀他？唉……看透了一切的人生，真是枯燥无味！苏寒决定了，等到等一下散会了，去个日常世界度假吧！,剧透诸天万界,连载
 流曦皓月,介绍:    小狐渥丹自幼父母双亡，被青丘山千狐洞的萨妲姑姑所救带进千狐洞修炼成妖，与同样孤苦无依的书佑青梅竹马长大，互定终身。千狐洞的洞主靠食人心肝保持形魄，手下狐妖们杀人成性，青丘国皇帝招来守静元师抓了百余只九尾狐妖炼成九灵丹。在中秋法会过后，渥丹从千狐洞消失被二护法南玉安排进人间皇宫暗杀守静元师报仇，在此期间，书佑被南玉设,狐九灵,连载
 墨染笔触,介绍:    她不过是一个材料化学专业的学渣，而他是功高盖主的仙界帝尊；明明是两个不同世界的人，千百年后，他们的故事倒成了六界中的下酒菜，凡间的说书先生也不禁感慨，毕竟帝尊入赘这样的事几万年也就发生一次。她接着醉意，勾起了师父的下巴，“师父，你可后悔了。”他未曾说话，只是伸手撩拨她被风吹乱的头发，双眼含情脉脉的看向她。,妖王的入赘夫君,连载
 卿千言,介绍:    药神怎么也想不通，自己这小门小派里烧柴火的小杂役，怎么一夜之间就成了上古月尊的徒弟。传言月尊不入红尘，不问世事，是四海八荒令人声畏的大神邸。扶辰听了，白眼都快翻到脑门顶上了。要不是自己还有点价值，入了她的眼，趁机能报那杀父之仇，夺妻之恨。眼前这——说话不中听，睡觉四仰八叉，流氓耍的飞起来的绝世美女……他这曾经的天族,史上最惨太子的封神之路,连载
 雷姆的粉,介绍:    做了半辈子的杀手，临退休时出了意外，灵魂穿越到火影忍者的世界，与雏田融合，外表依旧懦弱，胆小，可是内心···“每天受尽家人的白眼！好想打人啊！”,这个雏田有点冷,连载
 tisword,介绍:    一场世界杯比赛过后。“一共获得十五亿赞赏点么？”“是时候把任意球提升为殿堂级了吧！”……楚歌无意中获得了一个收集赞赏情绪，就能升级的系统，从此，他不得不厉害了起来呢。,最强妖锋,连载
 M落尘,介绍:    本是21世纪的孤女，却莫名其妙的绑定系统！“为什么是我！！”落紫烟仰天咆哮！“因为你是单身狗！”那么在一个又一个的世界中，她是否会找到真爱之子！”别多想了，先去拯救个世界不好吗？“她是皇后，他是皇子！她是白领，他就是她的顶头上司！她是末世小渣渣，他就是可怕大丧尸！她是经纪人，他就是公司大老板！她是家庭小女佣，他就是,快穿之为了世界,连载
 迷人的花猪,介绍:    上古八大氏族各有各的特殊之处，唯有姒族可以永生，活了千年的姒书一朝变为十岁小萝莉，意外被将军赵赫收养，从此便有了另一个身份：将军府大小姐……她旁边的小女孩梳着一个双丫髻，样貌竟然和旁边的女子再无二样，小女孩面无表情，眼神呆滞，步伐也有些僵硬，只是木然的往前走着，莫名有种怪异感，不似一个活物……,姒娘,连载
